"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-06T19:26:47.007388Z",1,21.352,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-06T19:26:47.007404Z"
2,"1","2026-02-06T19:27:04.416271Z",2,23.842000000000002,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-06T19:27:13.878895Z"
3,"1","2026-02-06T19:27:24.648655Z",3,5.25,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-06T19:27:24.648670Z"
4,"1","2026-02-06T19:27:30.720563Z",4,5.935,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-06T19:27:30.720578Z"
5,"1","2026-02-06T19:27:34.600222Z",5,3.757,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-06T19:27:34.600236Z"
6,"1","2026-02-06T19:27:37.471504Z",6,2.737,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-06T19:27:37.471519Z"
7,"1","2026-02-06T19:27:39.251334Z",7,1.65,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-06T19:27:39.251348Z"
8,"1","2026-02-06T19:27:43.018597Z",8,3.631,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-06T19:27:43.018610Z"
9,"1","2026-02-06T19:27:45.198987Z",9,2.053,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-06T19:27:45.199002Z"
10,"1","2026-02-06T19:27:48.902518Z",10,3.575,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-06T19:27:48.902532Z"
11,"1","2026-02-06T19:27:50.637320Z",11,7.241,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-06T19:27:59.273232Z"
12,"1","2026-02-06T19:28:09.446368Z",12,7.032,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-06T19:28:09.446383Z"
13,"1","2026-02-06T19:29:26.168394Z",13,76.581,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Neutral","2026-02-06T19:29:26.168412Z"
14,"1","2026-02-06T19:29:28.974092Z",14,2.633,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-06T19:29:28.974106Z"
15,"1","2026-02-06T19:29:32.333049Z",15,3.232,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-06T19:29:32.333062Z"
16,"1","2026-02-06T19:29:35.099941Z",16,2.63,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-06T19:29:35.099954Z"
17,"1","2026-02-06T19:29:36.733670Z",17,1.489,"Total garbage. Zero stars if I could give it.","Negative","2026-02-06T19:29:36.733685Z"
18,"1","2026-02-06T19:29:43.958488Z",18,7.092,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-06T19:29:43.958501Z"
19,"1","2026-02-06T19:29:46.766028Z",19,2.683,"I tried to like it, I really did, but it failed. I walked out halfway through.","Neutral","2026-02-06T19:29:46.766041Z"
