"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
1,"1","2026-02-06T10:11:51.208365Z",1,74.732,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-06T10:11:51.208365Z"
2,"1","2026-02-06T10:12:02.377573Z",2,7.937,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-06T10:12:02.377573Z"
3,"1","2026-02-06T10:12:15.355705Z",3,8.879,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-06T10:12:15.355705Z"
4,"1","2026-02-06T10:16:51.383543Z",4,12.306,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-06T10:16:51.383543Z"
5,"1","2026-02-06T10:17:02.986100Z",5,11.286,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-06T10:17:02.986100Z"
6,"1","2026-02-06T10:17:08.620639Z",6,5.179,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-06T10:17:08.620639Z"
7,"1","2026-02-06T10:23:30.085925Z",7,381.172,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-06T10:23:30.085925Z"
8,"1","2026-02-06T10:23:34.919952Z",8,4.541,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-06T10:23:34.919952Z"
9,"1","2026-02-06T10:23:46.197999Z",9,11.007,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-06T10:23:46.197999Z"
10,"1","2026-02-06T10:23:51.705066Z",10,5.177,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-06T10:23:51.705066Z"
11,"1","2026-02-06T10:23:58.142363Z",11,6.186,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-06T10:23:58.142363Z"
12,"1","2026-02-06T10:24:06.891160Z",12,8.481,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Neutral","2026-02-06T10:24:06.891160Z"
13,"1","2026-02-06T10:24:21.305153Z",13,14.146,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Negative","2026-02-06T10:24:21.305153Z"
14,"1","2026-02-06T10:24:27.169857Z",14,5.612,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-06T10:24:27.169857Z"
15,"1","2026-02-06T10:24:36.618689Z",15,9.169,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-06T10:24:36.618689Z"
16,"1","2026-02-06T10:24:41.679889Z",16,4.66,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-06T10:24:41.679889Z"
17,"1","2026-02-06T10:24:45.991134Z",17,4.025,"Total garbage. Zero stars if I could give it.","Negative","2026-02-06T10:24:45.991134Z"
18,"1","2026-02-06T10:24:52.643147Z",18,6.375,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-06T10:24:52.643147Z"
19,"1","2026-02-06T10:24:57.531373Z",19,4.505,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-06T10:24:57.531373Z"
