"annotation_id","annotator","created_at","id","lead_time","review","sentiment","updated_at"
2,"1","2026-02-07T06:28:22.183204Z",1,7.611,"This movie is a triumph in every sense. Highly recommended for everyone.","Positive","2026-02-07T06:28:22.183204Z"
3,"1","2026-02-07T06:28:32.108495Z",2,4.635,"I have never been so bored in my life. The score was frankly cringe-worthy. Avoid this at all costs.","Negative","2026-02-07T06:28:32.108495Z"
4,"1","2026-02-07T06:28:36.458707Z",3,2.708,"I was completely blown away by this film. The lead actor delivered a refreshing performance. I will be thinking about this for days.","Positive","2026-02-07T06:28:36.458707Z"
5,"1","2026-02-07T06:28:45.472960Z",4,6.938,"The trailer was better than the movie. The acting was frankly tedious. A complete misfire.","Negative","2026-02-07T06:28:45.472960Z"
6,"1","2026-02-07T06:28:54.130983Z",5,6.98,"Middle of the road entertainment. Visually it's fine, but the story arc is just average. It is what it is.","Neutral","2026-02-07T06:28:54.130983Z"
7,"1","2026-02-07T06:29:00.970521Z",6,4.892,"It perfectly balances humor and drama. I was hooked from the very first minute.","Positive","2026-02-07T06:29:00.970521Z"
8,"1","2026-02-07T06:29:27.909794Z",7,11.462,"I have never been so bored in my life. Nothing about the opening scene worked. A complete misfire.","Negative","2026-02-07T06:29:27.912956Z"
9,"1","2026-02-07T06:29:51.322308Z",8,4.29,"Nothing about the acting worked. What a complete waste of potential.","Negative","2026-02-07T06:29:51.322308Z"
10,"1","2026-02-07T06:30:01.703481Z",9,8.032,"It’s not a masterpiece, but it’s not a disaster either. The acting is fine, but the editing is a bit serviceable. You won't remember it a week from now.","Neutral","2026-02-07T06:30:01.703481Z"
11,"1","2026-02-07T06:30:07.631591Z",10,3.375,"Simply put, this is cinema at its finest. The chemistry between the cast was superb. Don't miss this one.","Positive","2026-02-07T06:30:07.631591Z"
12,"1","2026-02-07T06:30:15.114875Z",11,5.574,"I oscillated between loving and hating this film. I respect the ambition, even if it didn't fully land.","Neutral","2026-02-07T06:30:15.114875Z"
13,"1","2026-02-07T06:30:23.967895Z",12,6.912,"The acting was gripping, yet the acting felt dull. This is a very difficult movie to categorize.","Negative","2026-02-07T06:30:23.967895Z"
14,"1","2026-02-07T06:30:34.175739Z",13,8.425,"It tries to be deep, but comes off as dull despite the gripping music. A strange experience overall.","Negative","2026-02-07T06:30:34.175739Z"
15,"1","2026-02-07T06:30:38.943910Z",14,2.706,"Wow, just wow. Every scene felt earned, and the costume design was masterful. Two thumbs way up.","Positive","2026-02-07T06:30:38.943910Z"
16,"1","2026-02-07T06:30:45.314658Z",15,3.64,"I am confused about how I feel. It left me puzzled.","Neutral","2026-02-07T06:30:45.314658Z"
17,"1","2026-02-07T06:30:49.997027Z",16,2.453,"The direction was typical, but nothing special. Middle of the road entertainment.","Neutral","2026-02-07T06:30:49.997027Z"
18,"1","2026-02-07T06:30:54.771669Z",17,2.114,"Total garbage. Zero stars if I could give it.","Negative","2026-02-07T06:30:54.771669Z"
19,"1","2026-02-07T06:31:02.589889Z",18,4.906,"I didn't expect to enjoy this as much as I did. I particularly loved how the cinematography was handled. Don't miss this one.","Positive","2026-02-07T06:31:02.589889Z"
20,"1","2026-02-07T06:31:10.109296Z",19,5.192,"I tried to like it, I really did, but it failed. I walked out halfway through.","Negative","2026-02-07T06:31:10.109296Z"
21,"1","2026-02-07T06:31:16.774837Z",20,4.616,"I am confused about how I feel. Your mileage may vary significantly.","Neutral","2026-02-07T06:31:16.774837Z"
22,"1","2026-02-07T06:31:24.226020Z",21,4.628,"I have mixed feelings about this one. You won't remember it a week from now.","Negative","2026-02-07T06:31:24.226020Z"
23,"1","2026-02-07T06:31:30.439534Z",22,3.462,"I didn't expect to enjoy this as much as I did. It perfectly balances humor and drama. Do yourself a favor and go see this.","Positive","2026-02-07T06:31:30.439534Z"
24,"1","2026-02-07T06:31:37.414899Z",23,4.583,"The costume design distracted me from everything else. I struggled to sit through the first half.","Negative","2026-02-07T06:31:37.414899Z"
25,"1","2026-02-07T06:31:41.556863Z",24,2.154,"The visual effects were superb and added so much depth. This movie is a triumph in every sense.","Positive","2026-02-07T06:31:41.556863Z"
26,"1","2026-02-07T06:31:57.019932Z",25,11.968,"Wow, just wow. It perfectly balances humor and drama. A must-watch for fans of the genre.","Positive","2026-02-07T06:31:57.019932Z"
27,"1","2026-02-07T06:32:01.621553Z",26,2.139,"I have never been so bored in my life. Utterly disappointing.","Negative","2026-02-07T06:32:01.621553Z"
28,"1","2026-02-07T06:32:07.054328Z",27,3.245,"A refreshing take on a tired genre. Don't miss this one.","Positive","2026-02-07T06:32:07.054328Z"
